step1,M1,step2,M2,step3,M3,step4,M4
0,34.66,1,77.37,2,59.4,3,85.0
0,86.86,1,28.9,2,92.56,3,39.32
0,41.27,1,23.24,2,97.91,3,52.49
0,75.5,1,97.24,2,85.91,3,93.35
0,86.76,1,24.64,2,43.85,3,62.86
0,49.49,1,21.31,2,40.02,3,88.67
0,68.07,1,95.01,2,53.82,3,87.83
0,77.31,1,39.71,2,59.4,3,34.03
0,69.7,1,83.12,2,12.84,3,4.47
0,78.61,1,15.85,2,42.1,3,98.44
0,90.24,1,75.96,2,90.94,3,51.61
0,11.79,1,91.93,2,99.45,3,80.15
0,43.36,1,3.4,2,62.58,3,73.08
0,57.45,1,84.14,2,72.38,3,69.54
0,78.5,1,76.61,2,12.67,3,20.65
0,78.2,1,17.85,2,84.27,3,91.82
