,M1,M2,M3,M4,DR1,DR2,DR3,DR4,Makespan1,Makespan2
0,30.71,10.02,12.6,86.1,stpt,spt,lpt,lrpt,899.84,1021.89
1,60.04,96.86,78.95,77.98,,,,,,
2,14.54,34.8,70.34,11.47,,,,,,
3,64.48,54.75,92.12,27.03,,,,,,
4,26.51,73.57,25.93,46.48,,,,,,
5,43.48,8.33,64.88,27.29,,,,,,
6,9.75,58.6,66.73,28.13,,,,,,
7,42.12,13.46,72.52,36.88,,,,,,
8,11.71,32.35,41.35,17.82,,,,,,
9,7.07,57.46,4.45,76.24,,,,,,
10,48.54,45.77,33.28,35.81,,,,,,
11,49.77,50.68,10.09,5.89,,,,,,
12,53.04,96.46,49.73,17.47,,,,,,
13,22.35,73.28,12.83,61.85,,,,,,
14,71.95,7.39,52.18,61.2,,,,,,
